Cartera de préstamos hipotecarios al día 25.10.2016
Clasificación por año de formalización del préstamo,,
Año de formalización,Préstamos hipotecarios
N.º %,Principal pendiente
(euros) %
1999,1 0,01,140.012,48 0,01
2002,1 0,01,136.121,79 0,01
2006,10 0,06,1.668.868,04 0,09
2007,5 0,03,1.130.590,88 0,06
2008,17 0,11,2.856.589,19 0,15
2009,3 0,02,227.652,10 0,01
2010,14 0,09,2.955.364,38 0,16
2011,7 0,04,1.264.470,40 0,07
2012,188 1,16,21.944.674,19 1,18
2013,1.707 10,57,157.995.586,40 8,52
2014,4.465 27,66,476.241.262,84 25,68
2015,6.716 41,60,812.018.794,63 43,78
2016,3.011 18,65,376.062.261,06 20,28
Total 16.145 100,00 1.854.642.248,38 100,00,,
19,19 Meses Antigüedad media po nd erada
207,06 Meses Antigüedad máxima
3,91 Meses Antigüedad mínima,,
