AyT Goya Hipotecario IV, FTA
Distribución por Vida Residual
Vida M R e e se si s dual P N ré ú s m ta e m ro o s % p r s é o s b t r a e m t o o s tal S V a i l v d o o % V S iv a o ldo Sa M ld e o d V io ivo T M ip e o d io d e p o in n t d er e é r. s Vid M a e d re ia s i p d o u n al d a e ñ r. os An M t e ig d ü ia e d p a o d n d a e ñ r os Saldo Inicial Pl m az e o d i T a o p ta o l n a d ñ e o r s

Inferior o igual a 60 34 0,35% 2.257.623,68 0,16% 66.400,70 1,92% 3,46 3,59 5.249.241,16 7,05
entre 61 y 72 25 0,25% 2.618.500,37 0,18% 104.740,01 2,20% 5,51 3,23 4.239.741,92 8,73
entre 73 y 84 61 0,62% 4.498.040,71 0,31% 73.738,37 2,07% 6,51 3,11 6.602.837,57 9,62
entre 85 y 96 96 0,97% 7.392.885,76 0,51% 77.009,23 2,04% 7,53 2,63 10.179.135,92 10,16
entre 97 y 108 120 1,22% 8.911.768,36 0,62% 74.264,74 2,08% 8,53 2,35 11.802.766,64 10,89
entre 109 y 120 152 1,54% 11.025.008,26 0,76% 72.532,95 1,86% 9,43 1,88 13.169.224,69 11,30
entre 121 y 144 271 2,75% 28.364.912,08 1,96% 104.667,57 2,00% 11,23 2,47 36.346.279,53 13,70
entre 145 y 168 481 4,88% 49.825.411,53 3,44% 103.587,13 1,99% 13,05 2,13 58.131.693,37 15,18
entre 169 y 192 534 5,42% 62.298.022,90 4,30% 116.662,96 1,95% 14,87 2,18 69.688.256,29 17,05
entre 193 y 216 593 6,02% 71.036.804,84 4,91% 119.792,25 1,92% 17,03 2,48 81.566.836,94 19,50
entre 217 y 240 894 9,08% 108.590.711,01 7,50% 121.466,12 1,87% 19,03 1,34 117.460.125,86 20,37
entre 241 y 264 499 5,07% 69.308.750,65 4,79% 138.895,29 1,85% 21,17 2,19 78.202.084,14 23,36
entre 265 y 288 806 8,18% 109.410.680,99 7,56% 135.745,26 1,84% 23,11 1,93 118.889.109,77 25,04
entre 289 y 312 1.048 10,64% 158.597.465,59 10,96% 151.333,46 1,82% 24,78 1,71 170.785.165,20 26,49
entre 313 y 336 1.145 11,62% 208.647.188,31 14,41% 182.224,62 1,84% 26,99 2,47 227.385.040,24 29,47
entre 337 y 360 2.224 22,58% 389.112.467,84 26,88% 174.960,64 1,83% 29,10 0,89 402.460.163,01 29,98
entre 361 y 432 737 7,48% 130.334.569,96 9,00% 176.844,74 1,86% 33,39 1,52 135.191.852,86 34,91
Superior a 432 131 1,33% 25.237.175,49 1,74% 192.650,19 1,93% 37,00 2,98 26.975.588,43 39,99

Totales 9.851 100% 1 .447.467.988,33 100,00% 146.936,15 1,86% 24,61 1,72 1.574.325.143,54 26,33
Máxima 457,0
Mínima 1 9,0
Media 295,4
