Cartera de Operaciones a día 1 de junio de 2008,,,,,,,
Clasificación por Tipo de Garantía Hipotecaria,,,,,,,
Tipología Garantía,Operaciones,,,Principal Pendiente,,,
Hipotecaria,Número,%,,Importe,,%,
PISO-VIVIENDA,3.075,68,79%,,408.589.120,58,,67,83%,
LOCAL COMERCIAL,752,16,82%,,99.064.272,46,,16,45%,
NAVE INDUSTRIAL,165,3,69%,,42.516.968,80,,7,06%,
DESPACHO EN EDIFICIO DE VIVIENDAS,65,1,45%,,13.721.225,31,,2,28%,
EDIFICACIONES DE PISOS U OFICINAS NO DIVIDIDAS
(NO PROMOCIONES),48,1,07%,,,1,89%,,
,,,,11.405.861,24,,,
,,,,,,,
FINCA RUSTICA,64,1,43%,,10.129.891,62,,1,68%,
OFICINA-DESPACHO,54,1,21%,,7.111.965,44,,1,18%,
HOTEL,14,0,31%,,5.611.760,75,,0,93%,
OTRAS GARANTÍAS HIPOTECARIAS,233,5,21%,,4.188.765,18,,0,70%,
Total Cartera,4.470,100,00%,,602.339.831,38,,100,00%,
