,Gastos de Constitución,,EUROS,
Tasas CNMV (39.033,00+0,003% del total de la emisión)
con un límite máximo de 9.000 euros,,,48.033,00 €
52.200 €
3.480 €
102.010,12 €
205.723,12 €
90.000 €
576.720€
27.556,88 €
1.000.000 €
1.900.000 €,
Tasas AIAF,,,,
Tasas IBERCLEAR (500 € por serie + IVA):,,,,
Gastos Iniciales,,,,
,Subtotal,,,
Comisión de estructuración de la sociedad gestora,,,,
Comisiones de Aseguramiento y Colocación (Estimados),,,,
Financiación Parcial de los activos,,,,
Desfase inicial,,,,
TOTAL GENERAL,,,,
