Elaborado con datos a 8/06/2010,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN MADRID RESIDENCIAL II, FTA
(División por Tipo de Interés Actual),
,,
,VENCIMIENTO VENCIMIENTO
INICIAL RESIDUAL TIPO ACTUAL
TIPO DE INTERÉS SALDO ACTUAL SALDO ACTUAL Min. TIPO Máx. TIPO
NUM PONDERADO POR PONDERADO POR PONDERADO POR
ACTUAL EUROS (%) ACTUAL (%) ACTUAL (%)
SALDO INICIAL SALDO ACTUAL SALDO ACTUAL (%)
(meses) (meses),
,1,00 - 1,50 12 3.870.245,50 0,59 424 397 1,47 1,431 1,492
1,50 - 2,00 2.171 437.287.822,44 67,01 410 374 1,74 1,515 1,993
2,00 - 2,50 731 122.052.209,06 18,70 359 315 2,23 2,000 2,492
2,50 - 3,00 238 40.662.882,48 6,23 352 304 2,76 2,500 2,999
3,00 - 3,50 161 26.763.179,73 4,10 350 306 3,20 3,000 3,496
3,50 - 4,00 45 6.851.993,88 1,05 364 319 3,65 3,500 3,996
4,00 - 4,50 10 1.850.366,22 0,28 359 321 4,08 4,000 4,125
4,50 - 5,00 25 4.250.247,91 0,65 386 361 4,75 4,625 4,950
5,00 - 5,50 40 6.853.070,81 1,05 391 365 5,07 5,000 5,370
5,50 - 6,00 12 1.487.418,22 0,23 400 374 5,63 5,500 5,980
6,00 - 6,50 2 316.584,75 0,05 360 340 6,11 6,000 6,250
6,50 - 7,00 3 292.648,41 0,04 319 293 6,50 6,500 6,500,
,TOTALES 3.450 652.538.669,41 100,00 394 355 2,05 1,431 6,500,
66,,
