BALANCE DEL FONDO (en su origen) (*),,,
EUROS,,,
ACTIVO,,PASIVO,
,,,
Certificados,3.000.000.000,Serie A1,658.000.000
,,Serie A2,1.575.000.000
,,Serie A3,497.000.000
,,Serie B,55.500.000
,,Serie C,90.000.000
,,Serie D,72.000.000
,,Serie E,52.500.000
Tesorería,,,
Fondo de Reserva,108.000.000,Préstamo Participativo,108.000.000
,,,
Gastos Iniciales activados,7.510.773,66,Crédito Subordinado dispuesto,7.510.773,66
,,,
Cupón Corrido,7.000.000,Préstamo Cupón Corrido,7.000.000
,,,
TOTAL ACTIVO,3.122.510.773,66,TOTAL PASIVO,3.122.510.773,66
,,,
CUENTAS DE ORDEN,,,
,,,
,,Crédito Subordinado pendiente,
Recursos para desfase,18.850.000,(disponible el 20 de noviembre,18.850.000
,,de 2007),
,,,
