,31/12/2004,31/12/2005,31/12/2006
Recursos Propios,,,
(miles de euros),,,
,,,
,,,
Capital,903,00,903,00,903,00
Reservas,,,
Reserva Legal,180,60,180,60,180,60
Reservas
Voluntarias,1.426,15,1.899,19,2.461,71
Perdidas y
Ganancias,,,
Beneficio ejercicio,1.273,041,1.511,40,1.825,34
TOTAL,3.782,79,4.494,19,5.370,65
