CPR (15%),,,,Class C,,,,,,,,
,,,,Coupon: 3M EUR+ 1.50%,,,,,,,,
Payment Date,,,Amount EOP
(EUR),,,Principal
amortisation
(EUR),,Interest
(gross)
(EUR),,Total Cash Flow
(EUR),,
,28-may.-25,,,100,000.00,,,,,,,-100,000.00,
,21-oct.-25,,,100,000.00,,,-,1,457.20,,,1,457.20,
,21-jan.-26,,,100,000.00,,,-,918.24,,,918.24,
,21-april.-26,,,100,000.00,,,-,898.27,,,898.27,
,21-jul.-26,,,90,123.50,,,9,876.50,908.25,,,10,784.76,
,21-oct.-26,,,80,941.05,,,9,182.45,827.55,,,10,010.00,
,21-jan.-27,,,72,425.31,,,8,515.73,743.23,,,9,258.96,
,21-april.-27,,,64,569.92,,,7,855.39,650.58,,,8,505.97,
,21-jul.-27,,,57,327.18,,,7,242.74,586.46,,,7,829.20,
,21-oct.-27,,,50,645.61,,,6,681.57,526.40,,,7,207.96,
,21-jan.-28,,,44,482.78,,,6,162.83,465.05,,,6,627.88,
,21-april.-28,,,38,816.34,,,5,666.44,404.02,,,6,070.46,
,21-jul.-28,,,33,628.15,,,5,188.18,352.55,,,5,540.74,
,21-oct.-28,,,28,919.84,,,4,708.32,308.79,,,5,017.10,
,21-jan.-29,,,24,703.45,,,4,216.39,265.55,,,4,481.94,
,21-april.-29,,,20,987.15,,,3,716.30,221.90,,,3,938.20,
,21-jul.-29,,,17,709.05,,,3,278.10,190.62,,,3,468.72,
,21-oct.-29,,,14,791.31,,,2,917.74,162.61,,,3,080.35,
,21-jan.-30,,,12,228.05,,,2,563.26,135.82,,,2,699.08,
,21-april.-30,,,10,003.56,,,2,224.48,109.84,,,2,334.33,
,21-jul.-30,,,-,,,10,003.56,90.86,,,10,094.42,
